Year,CO2eq,Old Target,New Target
1990,601.5236931,NA,NA
1991,595.7767263,NA,NA
1992,613.5906402,NA,NA
1993,616.7983943,NA,NA
1994,638.0004703,NA,NA
1995,656.2971871,NA,NA
1996,678.7106864,NA,NA
1997,691.1943566,NA,NA
1998,696.9015186,NA,NA
1999,709.6009243,NA,NA
2000,733.5113373,NA,NA
2001,722.9350121,NA,NA
2002,726.5551835,NA,NA
2003,744.8318868,NA,NA
2004,745.9197824,NA,NA
2005,738.7172959,NA,NA
2006,730.0990825,NA,NA
2007,751.661271,NA,NA
2008,735.6928521,NA,NA
2009,693.5978977,NA,NA
2010,702.8027469,NA,NA
2011,714.07775,NA,NA
2012,717.1711766,NA,NA
2013,725.371843,NA,NA
2014,722.5576706,NA,NA
2015,723.094161,NA,NA
2016,706.9318195,NA,NA
2017,716.0903364,NA,NA
2018,728.475065,NA,NA
2019,730.2449322,730.2449322,730.2449322
2030,NA,517,443
